ilkid,year,team,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,class,outlier_prediction
CORLEKE01,1946,CL1,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1.0
HIRSCME01,1946,BOS,13,0,19,0,0,0,10,0,0,0.0,18,45,9,2,1,0,0,0,1.0
MILLSJO01,1946,PIT,47,0,181,0,0,0,9,0,0,0.0,94,187,55,129,71,0,0,0,1.0
MULLEBO01,1946,TOT,54,0,314,0,0,0,54,0,0,0.0,94,445,125,102,64,0,0,0,1.0
DOLLBO01,1947,ST1,42,0,446,0,0,0,26,0,0,0.0,107,658,174,148,98,0,0,0,1.0
FITZGDI01,1947,PRO,1,0,0,0,0,0,0,0,0,0.0,1,3,0,0,0,0,0,0,1.0
ROTHEIR01,1947,WSC,11,0,46,0,0,0,1,0,0,0.0,22,60,15,21,16,0,0,0,1.0
SCHADBE01,1947,CH1,37,0,56,0,0,0,6,0,0,0.0,40,116,23,13,10,0,0,0,1.0
EZERSJO01,1948,PRO,11,0,53,0,0,0,11,0,0,0.0,13,73,16,25,21,0,0,0,1.0
MADDOJA01,1948,INJ,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1.0
MIKANGE01,1948,MIE,60,0,1698,0,0,0,218,0,0,0.0,260,1403,583,689,532,0,0,0,1.0
BARNHLE01,1949,CH1,67,0,438,0,0,0,140,0,0,0.0,192,499,174,129,90,0,0,0,1.0
ENGLUGE01,1949,BOS,24,0,196,0,0,0,17,0,0,0.0,97,148,55,106,86,0,0,0,1.0
GRATEDO01,1949,SHE,2,0,4,0,0,0,3,0,0,0.0,3,6,1,2,2,0,0,0,1.0
LIVINRO01,1949,PH1,38,0,363,0,0,0,117,0,0,0.0,206,477,138,131,87,0,0,0,1.0
MIKKEVE01,1949,MIE,68,0,791,0,0,0,123,0,0,0.0,222,722,288,286,215,0,0,0,1.0
SADOWED01,1949,BA1,52,0,726,0,0,0,97,0,0,0.0,181,769,252,298,222,0,0,0,1.0
ARMSTPA01,1950,FTW,38,0,202,0,0,89,77,0,0,0.0,87,232,72,90,58,0,0,0,1.0
OSHEKE01,1951,BA1,65,1725,450,0,0,201,171,0,0,0.0,175,466,153,210,144,0,0,0,1.0
DAVIEBO01,1953,ROC,72,2137,887,0,0,194,323,0,0,0.0,224,777,288,433,311,0,0,0,1.0
MARTISL01,1953,MIE,69,2472,684,0,0,166,253,0,0,0.0,198,654,254,243,176,0,0,0,1.0
COUSYBO01,1954,BOS,71,2747,1504,0,0,424,557,0,0,0.0,165,1316,522,570,460,0,0,0,1.0
GRABOJO01,1956,PH1,72,2501,1032,0,0,614,140,0,0,0.0,244,1118,390,322,252,0,0,0,1.0
JORDOPH01,1956,NYK,9,91,44,0,0,34,2,0,0,0.0,15,49,18,12,8,0,0,0,1.0
SEYMOPA01,1956,SYR,65,1235,387,0,0,130,193,0,0,0.0,91,442,143,123,101,0,0,0,1.0
YARDLGE01,1956,FTW,72,2691,1547,0,0,755,147,0,0,0.0,231,1273,522,639,503,0,0,0,1.0
HEINSTO01,1957,BOS,69,2206,1230,0,0,705,125,0,0,0.0,274,1226,468,394,294,0,0,0,1.0
SHAVLRO01,1957,NYK,1,2,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1.0
STOKEMA01,1957,CIN,63,2460,1066,0,0,1142,403,0,0,0.0,226,1181,414,333,238,0,0,0,1.0
SPARRGU01,1958,NYK,67,842,336,0,0,244,67,0,0,0.0,158,406,129,138,78,0,0,0,1.0
JONESKC01,1959,BOS,74,1274,466,0,0,199,189,0,0,0.0,109,414,169,170,128,0,0,0,1.0
MANTINI01,1959,MIE,10,71,21,0,0,6,9,0,0,0.0,8,39,10,2,1,0,0,0,1.0
GREENSI01,1960,STL,76,1968,700,0,0,380,258,0,0,0.0,234,718,263,247,174,0,0,0,1.0
OHLDO01,1961,DET,77,2526,1311,0,0,267,244,0,0,0.0,173,1250,555,280,201,0,0,0,1.0
GUARIGE01,1962,BOS,11,83,26,0,0,14,2,0,0,0.0,5,38,11,11,4,0,0,0,1.0
LOVELCL01,1962,BOS,61,568,395,0,0,177,27,0,0,0.0,137,376,161,98,73,0,0,0,1.0
MCGILBI01,1962,CH2,60,590,442,0,0,161,38,0,0,0.0,118,353,181,119,80,0,0,0,1.0
CHAPPLE01,1963,PHI,1,16,1,0,0,4,0,0,0,0.0,2,2,0,2,1,0,0,0,1.0
DIERKCO01,1963,PHI,76,1286,496,0,0,422,50,0,0,0.0,221,514,191,169,114,0,0,0,1.0
KRAMEBA01,1964,TOT,52,507,186,0,0,100,41,0,0,0.0,67,186,63,84,60,0,0,0,1.0
CHAMBWI01,1965,PHI,79,3737,2649,0,0,1943,414,0,0,0.0,171,1990,1074,976,501,0,0,0,1.0
HAVLIJO01,1966,BOS,81,2602,1733,0,0,532,278,0,0,0.0,210,1540,684,441,365,0,0,0,1.0
IMHOFDA01,1966,LAL,81,2725,867,0,0,1080,222,0,0,0.0,281,780,370,207,127,0,0,0,1.0
OHLDO01,1966,BAL,58,2024,1180,0,0,189,168,0,0,0.0,153,1002,452,354,276,0,0,0,1.0
RODGEGU01,1966,CHI,81,3063,1459,0,0,346,908,0,0,0.0,243,1377,538,475,383,0,0,0,1.0
COUNTME01,1967,LAL,82,1739,958,0,0,732,139,0,0,0.0,309,808,384,254,190,0,0,0,1.0
GREENJO01,1967,TOT,77,1440,759,0,0,545,80,0,0,0.0,163,676,310,295,139,0,0,0,1.0
HAIRSHA01,1967,CIN,48,1625,837,0,0,355,58,0,0,0.0,127,630,317,296,203,0,0,0,1.0
HASKICL01,1967,CHI,76,1477,679,0,0,227,165,0,0,0.0,175,650,273,202,133,0,0,0,1.0
MANNIED01,1967,BAL,71,951,284,0,0,375,32,0,0,0.0,153,259,112,99,60,0,0,0,1.0
TRESVJO01,1967,CIN,30,802,309,0,0,169,46,0,0,0.0,105,270,121,106,67,0,0,0,1.0
VANARTO01,1967,CIN,27,682,281,0,0,93,76,0,0,0.0,83,238,97,116,87,0,0,0,1.0
BRIDGBI01,1968,ATL,80,2930,941,0,0,1132,298,0,0,0.0,290,775,351,353,239,0,0,0,1.0
CALDWJO01,1968,ATL,81,2720,1281,0,0,303,320,0,0,0.0,231,1106,561,296,159,0,0,1,1.0
KINGJI01,1968,SFW,46,1010,352,0,0,120,123,0,0,0.0,99,394,137,108,78,0,0,0,1.0
MCGLOJO01,1968,MIL,80,2888,1570,0,0,343,312,0,0,0.0,186,1358,662,292,246,0,0,0,1.0
MCLEMMC01,1968,TOT,81,1620,733,0,0,404,94,0,0,0.0,186,722,282,214,169,0,0,0,1.0
PAULKCH01,1968,MIL,17,217,51,0,0,78,3,0,0,0.0,26,84,19,23,13,0,0,0,1.0
BLOCKJO01,1969,SDR,82,2152,1193,0,0,609,137,0,0,0.0,275,1025,453,367,287,0,0,0,1.0
BRIDGBI01,1969,ATL,82,3269,1217,0,0,1181,345,0,0,0.0,292,932,443,451,331,0,0,0,1.0
SIEGFLA01,1969,BOS,78,2081,984,0,0,212,299,0,0,0.0,187,902,382,257,220,0,0,0,1.0
SMITHAD01,1969,TOT,77,1087,458,0,0,82,132,0,0,0.0,122,416,153,170,152,0,0,0,1.0
THORNRO01,1969,SEA,19,105,55,0,0,16,17,0,0,0.0,8,45,20,24,15,0,0,0,1.0
BARRTH01,1970,CIN,31,145,61,0,0,20,28,0,0,0.0,27,62,25,13,11,0,0,0,1.0
COLLIJI01,1970,CHI,55,478,219,0,0,54,60,0,0,0.0,43,214,92,45,35,0,0,0,1.0
DIERKCO01,1970,TOT,54,737,311,0,0,234,60,0,0,0.0,114,322,125,89,61,0,0,0,1.0
GARREEL01,1970,BUF,75,2375,964,0,0,295,264,0,0,0.0,290,902,373,251,218,0,0,0,1.0
KAUFFBO01,1970,BUF,78,2778,1591,0,0,837,354,0,0,0.0,263,1309,616,485,359,0,0,0,1.0
MASTED01,1970,NYK,30,164,61,0,0,56,4,0,0,0.0,25,66,25,20,11,0,0,0,1.0
MULLIJE01,1970,SFW,75,2909,1562,0,0,341,332,0,0,0.0,246,1308,630,358,302,0,0,0,1.0
ROBERRI01,1970,LAL,65,909,338,0,0,304,47,0,0,0.0,125,301,125,143,88,0,0,0,1.0
SANDETH01,1970,BOS,17,121,39,0,0,17,11,0,0,0.0,25,44,16,8,7,0,0,0,1.0
